title,text,label
"Couple held for series of housebreakings, robberies since January","MELAKA: Police have arrested a couple suspected of involvement in seven housebreakings and robbery cases in Melaka and neighbouring states since January this year.

Melaka Tengah police chief ACP Christopher Patit said the unemployed lovebirds, aged 24 to 31, were arrested in Kuala Kurau, Perak, on June 4.

""On May 28, police received two reports involving a housebreaking and robbery in the Melaka Tengah district linked to the couple.

""Their modus operandi included targeting homestays and stealing various electrical appliances and furniture from the premises,"" he said in a statement Saturday (June 21).

Initial investigations found that the pair were involved in three housebreaking and robbery cases in Melaka Tengah and four others in Kuala Lumpur and Selangor, respectively.

Various items, including electrical appliances, household furniture, a gold bracelet, two cars, five pawnshop receipts and five mobile phones were seized.

He said investigations are still underway, and the case is being investigated under Section 457 of the Penal Code for housebreaking and Section 392 of the Penal Code for robbery.

In a separate development, he said a clothing dealer was arrested for allegedly firing a shot with an air pistol at Jalan Johor, Semabok, on June 8.

""Following intelligence gathering and public tip-off, the 35-year-old suspect was arrested in Puchong, Selangor, on June 17.

Police also seized a black bag, a silver-black air pistol bearing the inscription Pietro Beretta Gardone V.T., a speed loader, and 30 ball-bearing bullets.

The suspect has been remanded for seven days until June 23 to assist in the investigation under Section 33 of the Arms Act 1960 and Section 427 of the Penal Code for mischief.

The case is still under investigation, and he urged the public not to speculate, as it could interfere with the ongoing probe. – Bernama",REAL
Chinese team’s edible fruit coating can more than double shelf life: paper,"Chinese scientists have developed an edible, washable protein-based coating that can extend the shelf life of fruit by 2½ times, by reducing moisture loss and microbial growth.

The low-cost coating was tested across 17 varieties of whole and cut fruits, including strawberry, tomato, kiwi and mango. It was shown to effectively delay rot by almost a week or more, at a cost of just 9 US cents per kilogram of fruit, according to a paper in the peer-reviewed journal Nature Communications.

The new strategy is as effective as existing preservation methods but reduces carbon dioxide emissions and the potential for toxicity, offering a promising solution to a major factor in global food waste.

“Addressing critical challenges in perishable fruit preservation ... we present an eco-friendly amyloid-like protein coating strategy developed through computer-aided molecular simulation,” the team led by researchers at Shaanxi Normal University said in their paper published on May 31.

“With edible properties, easy washability, and low cost, the coating demonstrates universal applicability for post-harvest and fresh-cut fruits.”

Around a third of all food produced globally is wasted, most of it perishable items like fruit and vegetables.

While all fruit have a natural protective barrier on their surface, harvesting renders them easily perishable due to dehydration, microbial growth, oxidation and ageing, thus limiting shelf life.

Strategies explored to extend the shelf life of fruit include genetic modification, wax coating, cold storage, and using “harmful” chemical preservatives such as formaldehyde.

While the waxing of fruit is widely adopted, there are concerns over the health implications of long-term consumption, due to the potential of wax to restrict oxygen and carbon dioxide exchange, according to the research team.

Meanwhile, cold storage may be more biosafe than some of the other methods, but it is expensive and energy-intensive, which adds to global carbon emissions.

Functional coating technologies using natural substances are a promising alternative, but developing a combination of materials that can evenly spread and adhere over the water-repellent fruit cuticle poses a challenge.

The researchers chose to use a phase-transitioned, amyloid-like protein, a type of material that is used to make underwater adhesives and stain-resistant fabric coatings.

Amyloid-like proteins are soluble and can be sprayed onto the surface of fruit. The researchers combined this with molecules of antimicrobial materials to make their coating.

“The superior performance of the amyloid-like protein coating stems from its enhanced spreadability, film formation, adhesion robustness and uniformity on fruit surfaces, which result in improved coating stability and prolonged preservation,” the team said in the paper.

“Our coating reduces carbon emissions by 90 per cent compared to standard refrigeration practices while extending shelf life by 2.5 times.”

The coating can delay fruit rot while achieving 60 to 98 per cent nutrient retention, which is more efficient than chemical preservation without the risk of toxicity, according to the paper.

While bare strawberries showed noticeable signs of decay after four days and severe fungal growth by day 10, the coated strawberries showed no apparent decay over this period.

The coating was able to extend the shelf life of cherry tomatoes from six to 16 days, kumquats from 15 to 30 days, and from two to eight days for both bananas and mangoes.

The material was also able to function under high temperatures, extending the shelf life of strawberries by three days under 42 degrees Celsius (107.6 degrees Fahrenheit).

While freshly cut uncoated apples showed bacterial presence on day two, the coated ones did not show such signs until day eight, indicating that the coating could delay browning and decay even on cut and peeled fruit.

“These findings underscore the universal fresh-keeping capability of the [coating] for fruit, doubling or even quintupling the typical shelf life of highly perishable fruits,” the team said.

Researchers from Tianjin University, Xinjiang Normal University, Changan University and the Second Affiliated Hospital of Xian Jiaotong University also took part in the study.

The biosafety of the coating was tested by feeding rats with spray-coated rat food. The animals exhibited no “distinct pathological alterations” and their blood, kidney and liver function tests were normal.

“The biocompatible, edible, and easily washable nature of the [amyloid-like protein] coating provides a practical and safer alternative for food preservation,” the team asserted.

-- SOUTH CHINA MORNING POST",REAL
,"MyKad users are now receiving RM1,000 as part of a government aid program.",FAKE
,Malaysia plans to replace Bahasa Melayu with Mandarin in schools by 2030.,FAKE
,Folding your IC in half deactivates the government chip inside.,FAKE
,The KL Tower transmits secret subliminal messages during Merdeka.,FAKE
,The moon landing was filmed in Langkawi.,FAKE
,JIM will begin prosecuting public transport drivers without MySejahtera check-ins.,FAKE
"Expansion of SST burdens people and raises prices, says Dr Wee","PETALING JAYA: The expansion of the Sales and Services Tax (SST) will further burden the people and give businesses an excuse to raise prices, says MCA president Datuk Seri Dr Wee Ka Siong.

He said that unlike the Goods and Services Tax (GST), the SST lacks transparency, consistency, and the capacity to generate sustainable revenue.

“The government’s continued expansion of SST, likely due to fiscal pressure, is a burden to the people and gives businesses an excuse to raise prices.

“MCA urges the government to take these concerns seriously and consider the constructive feedback from all sectors,” he said on Facebook on Saturday (June 21).

Dr Wee said that reintroducing the GST could ensure the stability and strength of the country.

He said that the GST is widely recognised for its transparency and efficiency.

“A responsible approach would be to exempt certain SMEs and vulnerable groups from the policy, rather than just postponing the rollout.

“A delay is only a short-term fix. In fact, it should be seen as a starting point for reviving the GST,” he said at the E-Invoice Seminar hosted by the MCA Political Education Committee and School of Political Studies earlier today.

Dr Wee added that if GST is implemented, the e-invoice function would be included in the taxation software.

“I emphasised that while the government announced a revised timeline for e-invoice implementation on June 5, simply delaying it won’t solve the root issues. MCA is of the view that the e-invoice component is a subset of the GST system,” he added.

Last week, Prime Minister Datuk Seri Anwar Ibrahim said that reintroducing GST would unfairly burden lower-income earners.

He said the implementation of GST would mean the poor, including fishermen, smallholders, low-wage earners, and street vendors, would be taxed on everyday essentials.

On June 9, the Finance Ministry announced that the reviewed and expanded SST rates would come into effect next month.

The measure is aimed at strengthening the country’s fiscal position by increasing revenue and broadening the tax base, the ministry said.",REAL
Russia's Putin calls for quick development of drone forces,"(Reuters) -Russian President Vladimir Putin said on Thursday that drones had played a major role in the conflict in Ukraine and called for the rapid development and deployment of separate drone forces within the military.

""We are currently creating unmanned systems troops as a separate branch of the military and we need to ensure their rapid and high-quality deployment and development,"" Russian news agencies quoted him as saying at a meeting on arms development.

Drones have played a leading role for both sides in the more than three-year-old conflict pitting Moscow against Kyiv. Ukrainian President Volodymyr Zelenskiy has since the outbreak of the war in February 2022 stressed the importance of developing a domestic drone development and production industry.

Putin told the second day of the gathering that Russia was well aware how Ukraine was dealing with the issue.

""But on the whole, I do not believe we are lagging behind on anything,"" he was quoted as saying. ""More to the point, it seems to me we are bringing together good experience with a view to creating just such forces.""

Russian Defence Minister Andrei Belousov proposed the creation of a drone force late last year, setting a target date of the third quarter of 2025.

Putin also stressed developing air defences, which he said had destroyed more than 80,000 targets during the conflict that Russia still calls a special military operation.

""In this respect, a new state armaments programme must ensure the construction of a versatile air defence system capable of operating in any circumstances and efficiently striking air attack weapons, regardless of their type,"" he said.

On the opening day of the meeting, Putin called for due attention to be paid to the nuclear triad of land-based, sea-based and aircraft-launched weapons.

(Reporting by Reuters; Editing by Nia Williams)",REAL
